Year,China,United States,Brazil,Belgium,Czechia,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Argentina,Canada,Chile,Colombia,Mexico,Venezuela,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
2000.0,1130.0,2269.0,188.0,58.0,41.0,255.0,337.0,172.0,75.0,89.0,25.0,36.0,121.0,48.0,223.0,26.0,76.0,36.0,619.0,134.0,51.0,61.0,254.0,25.0,26.0,151.0,59.0,156.0,520.0,48.0,190.0,85.0,72.0,441.0,108.0,17.0,27.0,41.0,87.0,109.0,123.0,19.0,98.0,31.0
2001.0,1168.0,2226.0,191.0,58.0,42.0,260.0,347.0,172.0,77.0,90.0,25.0,37.0,125.0,50.0,224.0,27.0,70.0,35.0,626.0,134.0,51.0,56.0,250.0,25.0,26.0,155.0,55.0,159.0,511.0,51.0,193.0,86.0,74.0,448.0,106.0,17.0,27.0,47.0,91.0,105.0,133.0,20.0,100.0,40.0
2002.0,1246.0,2256.0,196.0,56.0,43.0,261.0,339.0,174.0,78.0,89.0,26.0,38.0,128.0,52.0,221.0,25.0,74.0,40.0,623.0,136.0,53.0,56.0,251.0,26.0,25.0,157.0,67.0,165.0,513.0,52.0,201.0,90.0,82.0,462.0,109.0,17.0,29.0,48.0,94.0,100.0,138.0,20.0,114.0,39.0
2003.0,1420.0,2262.0,199.0,58.0,45.0,268.0,338.0,182.0,80.0,91.0,25.0,40.0,133.0,51.0,224.0,27.0,79.0,43.0,645.0,141.0,51.0,60.0,264.0,26.0,26.0,168.0,63.0,165.0,509.0,56.0,206.0,94.0,89.0,474.0,111.0,17.0,31.0,50.0,98.0,113.0,143.0,21.0,115.0,38.0
2004.0,1615.0,2308.0,211.0,58.0,46.0,271.0,341.0,183.0,81.0,91.0,26.0,39.0,139.0,53.0,222.0,27.0,81.0,51.0,647.0,142.0,51.0,67.0,271.0,28.0,26.0,171.0,61.0,176.0,526.0,60.0,212.0,96.0,96.0,500.0,113.0,18.0,31.0,54.0,99.0,123.0,156.0,24.0,115.0,42.0
2005.0,1782.0,2320.0,216.0,58.0,45.0,273.0,339.0,187.0,80.0,92.0,26.0,39.0,142.0,52.0,223.0,27.0,84.0,51.0,651.0,141.0,48.0,66.0,274.0,28.0,27.0,181.0,64.0,179.0,524.0,66.0,214.0,98.0,99.0,515.0,113.0,17.0,32.0,62.0,105.0,118.0,173.0,27.0,123.0,44.0
2006.0,1950.0,2298.0,224.0,57.0,46.0,268.0,349.0,185.0,79.0,97.0,25.0,40.0,141.0,50.0,219.0,27.0,93.0,61.0,670.0,137.0,49.0,70.0,278.0,30.0,29.0,184.0,65.0,183.0,524.0,66.0,218.0,100.0,101.0,533.0,118.0,17.0,35.0,66.0,106.0,120.0,180.0,25.0,132.0,46.0
2007.0,2099.0,2338.0,236.0,56.0,46.0,265.0,331.0,184.0,79.0,97.0,25.0,40.0,143.0,50.0,211.0,28.0,100.0,66.0,672.0,139.0,48.0,73.0,278.0,31.0,28.0,183.0,66.0,182.0,519.0,73.0,227.0,105.0,105.0,568.0,121.0,17.0,37.0,70.0,110.0,131.0,191.0,25.0,138.0,50.0
2008.0,2155.0,2278.0,250.0,58.0,45.0,266.0,335.0,182.0,78.0,98.0,25.0,40.0,139.0,50.0,209.0,32.0,98.0,70.0,688.0,135.0,50.0,76.0,271.0,30.0,30.0,184.0,66.0,185.0,500.0,76.0,232.0,101.0,108.0,604.0,126.0,18.0,37.0,73.0,113.0,142.0,205.0,28.0,151.0,59.0
2009.0,2297.0,2165.0,242.0,56.0,43.0,255.0,313.0,170.0,77.0,94.0,24.0,35.0,127.0,45.0,196.0,32.0,98.0,63.0,647.0,114.0,46.0,70.0,261.0,30.0,31.0,180.0,63.0,196.0,477.0,72.0,234.0,100.0,108.0,663.0,126.0,18.0,41.0,75.0,111.0,144.0,204.0,29.0,159.0,64.0
2010.0,2536.0,2217.0,267.0,60.0,45.0,263.0,330.0,174.0,83.0,101.0,23.0,35.0,127.0,51.0,204.0,33.0,106.0,69.0,688.0,132.0,49.0,75.0,262.0,31.0,30.0,179.0,75.0,202.0,503.0,73.0,256.0,106.0,118.0,701.0,126.0,19.0,42.0,74.0,127.0,134.0,204.0,29.0,175.0,61.0
2011.0,2723.0,2191.0,271.0,56.0,43.0,258.0,313.0,168.0,77.0,101.0,23.0,36.0,125.0,50.0,189.0,28.0,112.0,77.0,711.0,126.0,50.0,77.0,267.0,34.0,31.0,187.0,67.0,205.0,466.0,76.0,267.0,105.0,118.0,734.0,127.0,18.0,43.0,77.0,139.0,137.0,208.0,28.0,184.0,60.0
2012.0,2821.0,2152.0,282.0,53.0,43.0,258.0,315.0,162.0,77.0,98.0,21.0,35.0,124.0,50.0,194.0,31.0,118.0,74.0,728.0,122.0,44.0,80.0,269.0,37.0,30.0,192.0,69.0,204.0,456.0,77.0,271.0,105.0,126.0,766.0,126.0,19.0,47.0,79.0,140.0,131.0,218.0,29.0,189.0,64.0
2013.0,2912.0,2190.0,294.0,56.0,43.0,259.0,322.0,156.0,75.0,98.0,22.0,32.0,116.0,49.0,191.0,33.0,115.0,82.0,707.0,116.0,44.0,82.0,275.0,38.0,40.0,192.0,76.0,197.0,457.0,87.0,272.0,107.0,136.0,779.0,127.0,19.0,49.0,78.0,143.0,130.0,222.0,30.0,188.0,68.0
2014.0,2966.0,2216.0,303.0,53.0,42.0,249.0,307.0,147.0,71.0,95.0,21.0,32.0,113.0,48.0,180.0,29.0,119.0,65.0,707.0,106.0,41.0,82.0,282.0,35.0,40.0,188.0,66.0,206.0,442.0,89.0,277.0,109.0,136.0,822.0,127.0,21.0,54.0,80.0,147.0,138.0,238.0,27.0,207.0,74.0
2015.0,2994.0,2192.0,297.0,52.0,42.0,253.0,309.0,153.0,72.0,96.0,22.0,32.0,117.0,44.0,182.0,30.0,129.0,55.0,693.0,93.0,39.0,83.0,283.0,36.0,41.0,185.0,64.0,204.0,434.0,85.0,283.0,107.0,136.0,835.0,127.0,21.0,56.0,81.0,145.0,129.0,238.0,33.0,216.0,76.0
2016.0,2977.0,2168.0,287.0,56.0,41.0,248.0,310.0,151.0,74.0,100.0,22.0,32.0,118.0,48.0,179.0,29.0,137.0,64.0,714.0,92.0,42.0,82.0,287.0,38.0,42.0,185.0,59.0,209.0,429.0,88.0,293.0,109.0,139.0,852.0,127.0,21.0,56.0,88.0,150.0,135.0,246.0,36.0,215.0,79.0
2017.0,3070.0,2161.0,292.0,55.0,43.0,247.0,311.0,154.0,74.0,104.0,23.0,33.0,125.0,49.0,176.0,30.0,147.0,66.0,729.0,89.0,44.0,82.0,295.0,38.0,40.0,180.0,56.0,222.0,434.0,85.0,295.0,107.0,139.0,883.0,128.0,21.0,57.0,93.0,152.0,136.0,262.0,34.0,219.0,78.0
2018.0,3201.0,2236.0,288.0,53.0,43.0,246.0,302.0,151.0,73.0,106.0,22.0,34.0,124.0,50.0,175.0,29.0,144.0,76.0,760.0,93.0,46.0,80.0,298.0,39.0,39.0,181.0,42.0,231.0,428.0,94.0,296.0,110.0,136.0,919.0,128.0,20.0,61.0,96.0,160.0,134.0,266.0,34.0,214.0,78.0
2019.0,3309.0,2214.0,293.0,55.0,43.0,243.0,294.0,149.0,72.0,103.0,22.0,33.0,121.0,49.0,170.0,28.0,145.0,77.0,768.0,89.0,47.0,79.0,301.0,40.0,41.0,176.0,36.0,237.0,416.0,96.0,293.0,108.0,137.0,940.0,129.0,21.0,65.0,97.0,157.0,129.0,269.0,36.0,215.0,83.0
2020.0,3381.0,2046.0,286.0,51.0,39.0,217.0,275.0,137.0,70.0,97.0,20.0,32.0,107.0,47.0,154.0,27.0,141.0,70.0,731.0,86.0,44.0,72.0,281.0,38.0,39.0,151.0,29.0,225.0,386.0,88.0,283.0,105.0,125.0,908.0,126.0,21.0,59.0,92.0,159.0,124.0,268.0,38.0,209.0,81.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
